Date,Close,Open,High,Low,Vol.,Change
13-07-2021,15812.35,15794.0,15820.8,15744.6,246.68,0.76
14-07-2021,15853.95,15808.7,15877.35,15764.2,239.92,0.26
15-07-2021,15924.2,15872.15,15952.35,15855.0,284.85,0.44
16-07-2021,15923.4,15958.35,15962.25,15882.6,276.3,-0.01
19-07-2021,15752.4,15754.5,15836.9,15707.5,242.13,-1.07
20-07-2021,15632.1,15703.95,15728.45,15578.55,274.28,-0.76
22-07-2021,15824.05,15736.6,15834.8,15726.4,265.25,1.23
23-07-2021,15856.05,15856.8,15899.8,15768.4,294.1,0.2
26-07-2021,15824.45,15849.3,15893.35,15797.0,267.08,-0.2
27-07-2021,15746.45,15860.5,15881.55,15701.0,311.01,-0.49
28-07-2021,15709.4,15761.55,15767.5,15513.45,318.6,-0.24
29-07-2021,15778.45,15762.7,15817.35,15737.8,401.58,0.44
30-07-2021,15763.05,15800.6,15862.8,15744.85,400.02,-0.1
02-08-2021,15885.15,15874.9,15892.9,15834.65,244.85,0.77
03-08-2021,16130.75,15951.55,16146.9,15914.35,341.29,1.55
04-08-2021,16258.8,16195.25,16290.2,16176.15,427.34,0.79
05-08-2021,16294.6,16288.95,16349.45,16210.3,418.17,0.22
06-08-2021,16238.2,16304.4,16336.75,16223.3,320.09,-0.35
09-08-2021,16258.25,16281.35,16320.75,16179.05,240.45,0.12
10-08-2021,16280.1,16274.8,16359.25,16202.25,287.99,0.13
11-08-2021,16282.25,16327.3,16338.75,16162.55,277.9,0.01
12-08-2021,16364.4,16303.65,16375.5,16286.9,280.18,0.5
13-08-2021,16529.1,16385.7,16543.6,16376.3,321.87,1.01
16-08-2021,16563.05,16518.4,16589.4,16480.75,254.05,0.21
17-08-2021,16614.6,16545.25,16628.55,16495.4,297.39,0.31
18-08-2021,16568.85,16691.95,16701.85,16535.85,251.8,-0.28
20-08-2021,16450.5,16382.5,16509.55,16376.05,350.82,-0.71
23-08-2021,16496.45,16592.25,16592.5,16395.7,275.6,0.28
24-08-2021,16624.6,16561.4,16647.1,16495.3,275.36,0.78
25-08-2021,16634.65,16654.0,16712.45,16617.5,265.92,0.06
26-08-2021,16636.9,16627.95,16683.7,16603.4,253.53,0.01
27-08-2021,16705.2,16642.55,16722.05,16565.6,217.41,0.41
30-08-2021,16931.05,16775.85,16951.5,16764.85,283.48,1.35
31-08-2021,17132.2,16947.5,17153.5,16915.85,464.39,1.19
01-09-2021,17076.25,17185.6,17225.75,17055.05,301.89,-0.33
02-09-2021,17234.15,17095.4,17245.5,17059.7,242.38,0.92
03-09-2021,17323.6,17262.45,17340.1,17212.2,261.37,0.52
06-09-2021,17377.8,17399.35,17429.55,17345.55,228.05,0.31
07-09-2021,17362.1,17401.55,17436.5,17287.0,243.42,-0.09
08-09-2021,17353.5,17375.75,17383.4,17254.2,252.65,-0.05
